issue_key,created
PTL-953,2021-06-15
PTL-1146,2021-07-01
PTL-1209,2021-07-01
PTL-1327,2021-11-16
PTL-1329,2021-09-20
PTL-1334,2021-08-19
PTL-1335,2021-11-16
PTL-1342,2021-08-19
PTL-1347,2021-10-15
PTL-1355,2021-10-12
PTL-1358,2021-09-30
PTL-1365,2021-10-14
PTL-1370,2021-08-25
PTL-1372,2021-08-04
PTL-1380,2021-09-30
PTL-1438,2021-03-03
PTL-1450,2021-02-08
PTL-1489,2021-12-22
PTL-1634,2021-08-19
PTL-1639,2021-09-17
PTL-1648,2021-08-02
PTL-1649,2021-07-26
PTL-1656,2021-10-11
PTL-1657,2021-02-13
PTL-1658,2021-11-12
PTL-1660,2021-07-26
PTL-1661,2021-03-29
PTL-1665,2021-10-28
PTL-1668,2021-08-02
PTL-1675,2021-03-23
PTL-1678,2021-09-28
PTL-1680,2021-08-20
PTL-1681,2021-11-24
PTL-1684,2021-11-01
PTL-1703,2021-08-26
PTL-1704,2021-01-07
PTL-1719,2021-02-12
PTL-1721,2021-07-02
PTL-1726,2021-11-12
PTL-1729,2021-01-04
PTL-1731,2021-12-14
PTL-1734,2021-07-27
PTL-1739,2021-06-01
PTL-1748,2021-07-26
PTL-1749,2021-11-12
PTL-1757,2021-11-15
PTL-1758,2021-07-07
PTL-1759,2021-10-12
PTL-1760,2021-07-26
PTL-1775,2021-12-23
PTL-1780,2021-06-01
PTL-1783,2021-05-25
PTL-1785,2021-08-02
PTL-1789,2021-09-27
PTL-1792,2021-07-26
PTL-1793,2021-07-22
PTL-1794,2021-07-29
PTL-1804,2021-07-28
PTL-1809,2021-09-20
PTL-1810,2021-02-19
PTL-1815,2021-03-30
PTL-1821,2021-09-20
PTL-1823,2021-08-02
PTL-1828,2021-07-27
PTL-1834,2021-08-02
PTL-1853,2021-09-17
PTL-1855,2021-11-12
PTL-1856,2021-07-27
PTL-1953,2021-05-13
PTL-1954,2021-07-16
PTL-1956,2021-10-20
PTL-1957,2021-10-20
PTL-1958,2021-09-23
PTL-1969,2021-08-01
PTL-1976,2021-07-02
PTL-1978,2021-04-29
PTL-1979,2021-07-27
PTL-1980,2021-04-29
PTL-1981,2021-07-10
PTL-1984,2021-10-23
PTL-1986,2021-03-01
PTL-1987,2021-07-02
PTL-1989,2021-03-01
PTL-1991,2021-10-20
PTL-1994,2021-03-07
PTL-1997,2021-10-21
PTL-1998,2021-03-07
PTL-2011,2021-03-07
PTL-2013,2021-10-20
PTL-2015,2021-07-05
PTL-2016,2021-05-06
PTL-2020,2021-05-14
PTL-2021,2021-03-23
PTL-2022,2021-07-12
PTL-2023,2021-12-30
PTL-2084,2021-01-14
PTL-2088,2021-03-17
PTL-2094,2021-01-05
PTL-2096,2021-11-17
PTL-2106,2021-03-17
PTL-2107,2021-01-05
PTL-2110,2021-04-04
PTL-2125,2021-04-16
PTL-2126,2021-01-13
PTL-2150,2021-08-31
PTL-2153,2021-04-04
PTL-2158,2021-01-15
PTL-2171,2021-03-22
PTL-2174,2021-10-05
PTL-2255,2021-04-13
PTL-2310,2021-01-25
PTL-2311,2021-11-18
PTL-2323,2021-03-23
PTL-2362,2021-09-27
PTL-2367,2021-04-15
PTL-2375,2021-02-15
PTL-2424,2021-08-06
PTL-2427,2021-10-21
PTL-2429,2021-02-15
PTL-2433,2021-02-18
PTL-2515,2021-04-30
PTL-2530,2021-09-27
PTL-2584,2021-11-09
PTL-2585,2021-12-16
PTL-2604,2021-03-09
PTL-2605,2021-11-09
PTL-2632,2021-09-27
PTL-2675,2021-04-15
PTL-2701,2021-11-09
PTL-2705,2021-01-26
PTL-2780,2021-07-09
PTL-3177,2021-09-28
PTL-3179,2021-08-27
PTL-3188,2021-06-04
PTL-3197,2021-11-09
PTL-3199,2021-03-04
PTL-3202,2021-11-09
PTL-3206,2021-03-19
PTL-3214,2021-03-16
PTL-3220,2021-10-28
PTL-3221,2021-09-01
PTL-3225,2021-11-09
PTL-3232,2021-09-01
PTL-3233,2021-06-25
PTL-3236,2021-11-09
PTL-3237,2021-08-09
PTL-3238,2021-09-07
PTL-3245,2021-10-25
PTL-3246,2021-12-27
PTL-3254,2021-04-25
PTL-3259,2021-01-27
PTL-3263,2021-12-16
PTL-3264,2021-06-22
PTL-3268,2021-05-19
PTL-3275,2021-01-26
PTL-3281,2021-09-27
PTL-3282,2021-07-30
PTL-3283,2021-11-09
PTL-3284,2021-12-13
PTL-3289,2021-06-23
PTL-3291,2021-03-04
PTL-3293,2021-05-24
PTL-3300,2021-01-26
PTL-3314,2021-08-08
PTL-3317,2021-09-23
PTL-3319,2021-12-19
PTL-3323,2021-09-01
PTL-3328,2021-10-18
PTL-3329,2021-03-04
PTL-3339,2021-11-09
PTL-3345,2021-10-07
PTL-3350,2021-06-21
PTL-3357,2021-11-09
PTL-3366,2021-09-23
PTL-3376,2021-11-05
PTL-3381,2021-06-14
PTL-3382,2021-11-15
PTL-3389,2021-08-04
PTL-3393,2021-03-10
PTL-3401,2021-06-25
PTL-3402,2021-08-18
PTL-3403,2021-09-22
PTL-3406,2021-09-01
PTL-3414,2021-08-23
PTL-3421,2021-06-02
PTL-3429,2021-01-27
PTL-3439,2021-08-13
PTL-3444,2021-05-18
PTL-3450,2021-09-16
PTL-3454,2021-03-05
PTL-3455,2021-04-15
PTL-3458,2021-12-17
PTL-3466,2021-10-24
PTL-3468,2021-06-16
PTL-3469,2021-11-09
PTL-3472,2021-09-21
PTL-3481,2021-08-19
PTL-3488,2021-11-09
PTL-3496,2021-08-10
PTL-3501,2021-06-04
PTL-3512,2021-09-21
PTL-3516,2021-01-13
PTL-3517,2021-08-08
PTL-3521,2021-02-19
PTL-3855,2021-02-19
PTL-3861,2021-07-13
PTL-3901,2021-04-12
PTL-3915,2021-09-09
PTL-4018,2021-06-17
PTL-4101,2021-07-13
PTL-4241,2021-07-02
PTL-4282,2021-07-13
PTL-4288,2021-04-16
PTL-4294,2021-03-07
PTL-4297,2021-07-10
PTL-4302,2021-02-09
PTL-4316,2021-06-15
PTL-4346,2021-12-22
PTL-4379,2021-07-13
PTL-4419,2021-07-13
PTL-4441,2021-07-10
PTL-4453,2021-07-13
PTL-4467,2021-05-17
PTL-4495,2021-10-14
PTL-4509,2021-12-27
PTL-4546,2021-12-16
PTL-4554,2021-05-11
PTL-4580,2021-07-10
PTL-4599,2021-07-29
PTL-4620,2021-04-26
PTL-4822,2021-05-21
PTL-4841,2021-06-03
PTL-4847,2021-01-29
PTL-4854,2021-09-23
PTL-4859,2021-12-07
PTL-4887,2021-12-05
PTL-4895,2021-01-27
PTL-4907,2021-01-27
PTL-4913,2021-05-21
PTL-4921,2021-09-27
PTL-4922,2021-08-24
PTL-5029,2021-02-10
PTL-5034,2021-02-11
PTL-5036,2021-11-30
PTL-5047,2021-08-27
PTL-5053,2021-10-06
PTL-5067,2021-09-09
PTL-5087,2021-05-10
PTL-5089,2021-02-10
PTL-5091,2021-02-18
PTL-5101,2021-09-24
PTL-5108,2021-07-09
PTL-5110,2021-02-11
PTL-5114,2021-03-26
PTL-5115,2021-09-17
PTL-5126,2021-08-16
PTL-5128,2021-02-18
PTL-5131,2021-02-10
PTL-5132,2021-02-11
PTL-5147,2021-03-05
PTL-5153,2021-08-27
PTL-5157,2021-08-18
PTL-5165,2021-08-27
PTL-5172,2021-04-15
PTL-5183,2021-11-30
PTL-5312,2021-03-19
PTL-5314,2021-03-27
PTL-5318,2021-03-17
PTL-5320,2021-03-26
PTL-5321,2021-03-16
PTL-5322,2021-07-02
PTL-5325,2021-03-19
PTL-5327,2021-04-05
PTL-5329,2021-03-19
PTL-5330,2021-03-27
PTL-5331,2021-03-27
PTL-5332,2021-03-19
PTL-5338,2021-07-02
PTL-5339,2021-03-27
PTL-5340,2021-04-23
PTL-5341,2021-03-25
PTL-5342,2021-04-22
PTL-5343,2021-03-04
PTL-5345,2021-07-02
PTL-5347,2021-02-08
PTL-5349,2021-10-31
PTL-5353,2021-03-16
PTL-5359,2021-10-25
PTL-5363,2021-07-29
PTL-5364,2021-03-27
PTL-5376,2021-02-04
PTL-5379,2021-03-04
PTL-5380,2021-04-27
PTL-5382,2021-09-08
PTL-5384,2021-03-02
PTL-5387,2021-08-03
PTL-5391,2021-03-30
PTL-5392,2021-06-07
PTL-5395,2021-12-07
PTL-5400,2021-04-27
PTL-5407,2021-03-19
PTL-5410,2021-03-03
PTL-5417,2021-03-02
PTL-5420,2021-09-06
PTL-5427,2021-01-08
PTL-5431,2021-07-14
PTL-5433,2021-09-20
PTL-5440,2021-03-02
PTL-5447,2021-08-11
PTL-5517,2021-08-04
PTL-5546,2021-02-03
PTL-5551,2021-03-12
PTL-5555,2021-12-24
PTL-5567,2021-12-23
PTL-5609,2021-09-28
PTL-5611,2021-01-28
